№ п/п	код дороги	Идентификационный номер	Значение дороги	Наименование района	Наименование автомобильной дороги	Категория автомо-бильной дороги	Адрес начала участка, км	Адрес конца участка, км	общая	асфальто-бетон	бетон и железо- бетон	щебень	грунт
1.	4001430	73 ОП РЗ К-1430	Региональное	Базарносызганский	 Барыш-Инза-Карсун-Урено-Карлинское	III	12.69	33.93	21.24	21.24			
2.	9730101	73 210 ОП МЗ Н-001	Межмуниципальное	Базарносызганский	 Инза-Папузы	IV	32.7	38.58	5.88			5.88	
3.	9730102	73 202 ОП МЗ Н-001	Межмуниципальное	Базарносызганский	 Базарный Сызган-Глотовка	IV	0	16	16	16			
4.	9730103	73 202 ОП МЗ Н-002	Межмуниципальное	Базарносызганский	 Базарный Сызган-Годяйкино	IV	0	31.82	31.62	31.62			
5.	9730104	73 202 ОП МЗ Н-003	Межмуниципальное	Базарносызганский	 Красная Сосна-Дальнее Поле	IV	0	7	7			7	
6.	9730105	73 202 ОП МЗ Н-004	Межмуниципальное	Базарносызганский	" ""Барыш-Инза-Карсун-Урено-Карлинское""-Лапшаур-Русская Хомутерь"	IV	0	10.748	10.748	10.748			
7.	9730106	73 202 ОП МЗ Н-005	Межмуниципальное	Базарносызганский	" ""Базарный Сызган-Годяйкино""-Патрикеево"	IV	0	3.3	3.3	3.3			
8.	9730107	73 202 ОП МЗ Н-006	Межмуниципальное	Базарносызганский	 Базарный Сызган-Должниково	IV	0	7.936	7.936	7.936			
9.	9730107	73 202 ОП МЗ Н-007	Межмуниципальное	Базарносызганский	"Подъезд к п. Раздолье (совхоз ""Дружба"")"	IV	0	0.581	0.581	0.581			
10.	9730108	73 202 ОП МЗ Н-008	Межмуниципальное	Базарносызганский	 Сосновый Бор-Чаадаевка	IV	0	4.66	4.66	3.9		0.76	
11.	9730109	73 202 ОП МЗ Н-009	Межмуниципальное	Базарносызганский	 Сосновый Бор-Жмакино-Вороновка	V	0	8.1	8.1			8.1	
12.	9730110	73 202 ОП МЗ Н-010	Межмуниципальное	Базарносызганский	" ""Барыш-Инза-Карсун-Урено-Карлинское""-Бурское"	V	0	2.5	2.5			2.5	
